NIM,ANGKATAN,SEMESTER,KODE_MK,NAMA_MK,SKS,NILAI,GRADE
10110310004,2010,1111,TI330,Pengantar Teknologi Internet,3,58,C
10110310004,2010,1121,EM604,Technopreneurship,2,100,A
10110310004,2010,1121,SI426,Interaksi Manusia Komputer,2,99,A
10110310004,2010,1121,SI431,Pemrograman Visual Lanjutan,3,57,C
10110310004,2010,1121,SK430,Jaringan Komputer,4,70,B
10110310004,2010,1121,TI403,Sistem Basis Data,4,72,B
10110310004,2010,1122,SI325,Konsep Sistem Operasi,3,56,C
10110310004,2010,1122,TI110,Pengantar Teknologi Multimedia,3,88,A
10110310004,2010,1211,EA100,Pengantar Akuntansi 1,3,73,B
10110310004,2010,1211,EM372,Pengantar Ekonomi,2,56,C
10110310004,2010,1211,SI302,Analisis Proses Bisnis,2,94,A
10110310004,2010,1211,SI511,Manajemen Proyek SI,3,70,B
10110310004,2010,1211,SI522,Decision Support & BI Systems,3,94,A
10110310004,2010,1211,SI527,Enterprise Resource Planning,3,99,A
10110310004,2010,1211,SI541,Database Lanjutan,3,56,C
10110310004,2010,1211,TI532,Pemrograman Web,3,57,C
10110310004,2010,1221,EA410,Sistem Informasi Akuntansi Berbasis ICT 1,3,72,B
10110310004,2010,1221,SI415,Inovasi Teknologi Informasi,3,99,A
10110310004,2010,1221,SI420,Analisis dan Perancangan SI,3,54,C
10110310004,2010,1221,SI612,E-Business,2,100,A
10110310004,2010,1221,SI628,ERP Terapan,3,55,C
10110310004,2010,1221,SI642,Administrasi Database 1,3,71,B
10110310004,2010,1221,TI751,Seminar ICT,3,96,A
10110310004,2010,1222,UM121,Bahasa Inggris 1,2,74,B
10110310004,2010,1311,EM100,Dasar-dasar Bisnis,3,73,B
10110310004,2010,1311,SI521,Analisis & Perancangan SI Lanjutan,3,50,D
10110310004,2010,1311,SI723,Keamanan & Audit Sistem Informasi,3,88,A
10110310004,2010,1311,SI725,Knowledge Management,3,93,A
10110310004,2010,1311,SI744,Administrasi Database 2,3,98,A
10110310004,2010,1311,SI750,Etika Bisnis & Hukum,2,85,A
10110310004,2010,1321,IK402,Komunikasi Interpersonal,2,70,B
10110310004,2010,1321,SI661,Proyek Sistem Informasi,4,72,B
10110310004,2010,1321,SI664,Metode Riset SI,3,73,B
10110310004,2010,1411,SI860,Magang Kerja,4,82,A-
10110310004,2010,1421,IS761,Skripsi 1,3,79,B+
10110310004,2010,1421,IS862,Skripsi 2,3,75,B
10110310005,2010,1011,EM100,EM100 Dasar-dasar Bisnis,3,73,B
10110310005,2010,1011,EM180,EM180 Matematika Bisnis,3,99,A
10110310005,2010,1011,TI100,TI100 Algoritma dan Pemrograman,4,93,A
10110310005,2010,1011,TI101,TI101 Matematika Diskrit,3,87,A
10110310005,2010,1011,TI110,TI110 Pengantar Teknologi Multimedia,3,93,A
10110310005,2010,1011,UM121,UM121 Bahasa Inggris 1,2,97,A
10110310005,2010,1011,UM151,UM151 Agama,3,72,B
10110310005,2010,1021,EM201,EM201 Dasar-dasar Manajemen,3,73,B
10110310005,2010,1021,IK402,IK402 Komunikasi Interpersonal,2,71,B
10110310005,2010,1021,SI200,SI200 Pengantar Sistem Informasi,2,90,A
10110310005,2010,1021,SI214,SI214 Manajemen Operasional,3,91,A
10110310005,2010,1021,TI220,TI220 Metode Perancangan Program,3,91,A
10110310005,2010,1021,UM141,UM141 Bahasa Indonesia,3,71,B
10110310005,2010,1021,UM160,UM160 Pendidikan Kewarganegaraan,3,73,B
10110310005,2010,1021,UM222,UM222 Bahasa Inggris 2,2,90,A
10110310005,2010,1111,EM372,EM372 Pengantar Ekonomi,2,96,A
10110310005,2010,1111,SI210,SI210 Pemrograman Visual,3,100,A
10110310005,2010,1111,SI301,SI301 Sistem Informasi Manajemen,3,100,A
10110310005,2010,1111,SI302,SI302 Analisis Proses Bisnis,2,87,A
10110310005,2010,1111,SI325,SI325 Konsep Sistem Operasi,3,90,A
10110310005,2010,1111,SI750,SI750 Etika Bisnis & Hukum,2,72,B
10110310005,2010,1111,SK304,SK304 Probabilitas dan Statistika,3,99,A
10110310005,2010,1111,TI330,TI330 Pengantar Teknologi Internet,3,86,A
10110310005,2010,1121,EM604,EM604 Technopreneurship,2,73,B
10110310005,2010,1121,SI415,SI415 Inovasi Teknologi Informasi,3,71,B
10110310005,2010,1121,SI420,SI420 Analisis dan Perancangan SI,3,70,B
10110310005,2010,1121,SI426,SI426 Interaksi Manusia Komputer,2,98,A
10110310005,2010,1121,SI431,SI431 Pemrograman Visual Lanjutan,3,92,A
10110310005,2010,1121,SK430,SK430 Jaringan Komputer,4,98,A
10110310005,2010,1121,TI403,TI403 Sistem Basis Data,4,94,A
10110310005,2010,1211,EA100,EA100 Pengantar Akuntansi 1,3,98,A
10110310005,2010,1211,SI511,SI511 Managemen Proyek SI,3,94,A
10110310005,2010,1211,SI521,SI521 Analisis & Perancangan SI Lanjutan,3,74,B
10110310005,2010,1211,SI522,SI522 Decision Support & BI Systems,3,74,B
10110310005,2010,1211,SI527,SI527 Enterprise Resource Planning,3,88,A
10110310005,2010,1211,SI541,SI541 Database Lanjutan,3,92,A
10110310005,2010,1211,TI532,TI532 Pemograman Web,3,93,A
10110310005,2010,1221,EA410,EA410 Sistem Informasi Akuntansi Berbasis ICT 1,3,74,B
10110310005,2010,1221,SI612,SI612 E-Business,2,97,A
10110310005,2010,1221,SI628,SI628 ERP Terapan,3,100,A
10110310005,2010,1221,SI643,SI643 Pengembangan Aplikasi Database 1,3,93,A
10110310005,2010,1221,SI661,SI661 Proyek Sistem Informasi,4,89,A
10110310005,2010,1221,SI664,SI664 Metode Riset SI,3,99,A
10110310005,2010,1221,TI751,TI751 Seminar ICT,3,93,A
10110310005,2010,1311,SI723,SI723 Keamanan & Audit Sistem Informasi,3,99,A
10110310005,2010,1311,SI725,SI725 Knowledge Management,3,56,C
10110310005,2010,1311,SI745,SI745 Pengembangan Aplikasi Database 2,3,91,A
10110310005,2010,1311,SI860,SI860 Magang Kerja,4,88,A
10110310005,2010,1321,SI863,SI863 Tugas Akhir,6,93,A
10110310006,2010,1011,EM100,EM100 Dasar-dasar Bisnis,3,57,C
10110310006,2010,1011,EM180,EM180 Matematika Bisnis,3,71,B
10110310006,2010,1011,TI100,TI100 Algoritma dan Pemrograman,4,55,C
10110310006,2010,1011,TI101,TI101 Matematika Diskrit,3,71,B
10110310006,2010,1011,TI110,TI110 Pengantar Teknologi Multimedia,3,72,B
10110310006,2010,1011,UM121,UM121 Bahasa Inggris 1,2,55,C
10110310006,2010,1011,UM151,UM151 Agama,3,74,B
10110310006,2010,1021,EM201,EM201 Dasar-dasar Manajemen,3,73,B
10110310006,2010,1021,IK402,IK402 Komunikasi Interpersonal,2,53,D
10110310006,2010,1021,SI200,SI200 Pengantar Sistem Informasi,2,70,B
10110310006,2010,1021,SI214,SI214 Manajemen Operasional,3,70,B
10110310006,2010,1021,TI220,TI220 Metode Perancangan Program,3,59,C
10110310006,2010,1021,UM141,UM141 Bahasa Indonesia,3,59,C
10110310006,2010,1021,UM160,UM160 Pendidikan Kewarganegaraan,3,70,B
10110310006,2010,1021,UM222,UM222 Bahasa Inggris 2,2,72,B
10110310006,2010,1111,EM372,EM372 Pengantar Ekonomi,2,73,B
10110310006,2010,1111,SI210,SI210 Pemrograman Visual,3,55,C
10110310006,2010,1111,SI301,SI301 Sistem Informasi Manajemen,3,87,A
10110310006,2010,1111,SI302,SI302 Analisis Proses Bisnis,2,95,A
10110310006,2010,1111,SI325,SI325 Konsep Sistem Operasi,3,56,C
10110310006,2010,1111,SI750,SI750 Etika Bisnis & Hukum,2,71,B
10110310006,2010,1111,SK304,SK304 Probabilitas dan Statistika,3,97,A
10110310006,2010,1111,TI330,TI330 Pengantar Teknologi Internet,3,55,C
10110310006,2010,1121,EM604,EM604 Technopreneurship,2,71,B
10110310006,2010,1121,SI415,SI415 Inovasi Teknologi Informasi,3,74,B
10110310006,2010,1121,SI420,SI420 Analisis dan Perancangan SI,3,72,B
10110310006,2010,1121,SI426,SI426 Interaksi Manusia Komputer,2,98,A
10110310006,2010,1121,SI431,SI431 Pemrograman Visual Lanjutan,3,56,C
10110310006,2010,1121,SK430,SK430 Jaringan Komputer,4,58,C
10110310006,2010,1121,TI403,TI403 Sistem Basis Data,4,55,C
10110310006,2010,1211,EA100,EA100 Pengantar Akuntansi 1,3,57,C
10110310006,2010,1211,SI511,SI511 Managemen Proyek SI,3,100,A
10110310006,2010,1211,SI520,SI520 Sistem dan Aplikasi Perusahaan 1,3,87,A
10110310006,2010,1211,SI521,SI521 Analisis & Perancangan SI Lanjutan,3,59,C
10110310006,2010,1211,SI522,SI522 Decision Support & BI Systems,3,73,B
10110310006,2010,1211,SI527,SI527 Enterprise Resource Planning,3,72,B
10110310006,2010,1211,TI532,TI532 Pemograman Web,3,56,C
10110310006,2010,1221,EA410,EA410 Sistem Informasi Akuntansi Berbasis ICT 1,3,73,B
10110310006,2010,1221,SI612,SI612 E-Business,2,97,A
10110310006,2010,1221,SI624,SI624 Sistem dan Aplikasi Perusahaan 2,3,73,B
10110310006,2010,1221,SI628,SI628 ERP Terapan,3,71,B
10110310006,2010,1221,SI661,SI661 Proyek Sistem Informasi,4,92,A
10110310006,2010,1221,SI664,SI664 Metode Riset SI,3,92,A
10110310006,2010,1221,TI751,TI751 Seminar ICT,3,94,A
10110310006,2010,1311,SI723,SI723 Keamanan & Audit Sistem Informasi,3,97,A
10110310006,2010,1311,SI725,SI725 Knowledge Management,3,70,B
10110310006,2010,1311,SI729,SI729 Sistem dan Aplikasi Perusahaan 3,3,70,B
10110310006,2010,1311,SI860,SI860 Magang Kerja,4,85,A
10110310006,2010,1321,SI863,SI863 Tugas Akhir,6,92,A
10110310007,2010,1011,EM100,EM100 Dasar-dasar Bisnis,3,56,C
10110310007,2010,1011,EM180,EM180 Matematika Bisnis,3,72,B
10110310007,2010,1011,TI100,TI100 Algoritma dan Pemrograman,4,57,C
10110310007,2010,1011,TI101,TI101 Matematika Diskrit,3,73,B
10110310007,2010,1011,TI110,TI110 Pengantar Teknologi Multimedia,3,71,B
10110310007,2010,1011,UM121,UM121 Bahasa Inggris 1,2,70,B
10110310007,2010,1011,UM151,UM151 Agama,3,70,B
10110310007,2010,1021,EM201,EM201 Dasar-dasar Manajemen,3,55,C
10110310007,2010,1021,IK402,IK402 Komunikasi Interpersonal,2,47,D
10110310007,2010,1021,SI200,SI200 Pengantar Sistem Informasi,2,71,B
10110310007,2010,1021,SI214,SI214 Manajemen Operasional,3,57,C
10110310007,2010,1021,TI220,TI220 Metode Perancangan Program,3,71,B
10110310007,2010,1021,UM141,UM141 Bahasa Indonesia,3,58,C
10110310007,2010,1021,UM160,UM160 Pendidikan Kewarganegaraan,3,57,C
10110310007,2010,1021,UM222,UM222 Bahasa Inggris 2,2,57,C
10110310007,2010,1111,EM372,EM372 Pengantar Ekonomi,2,72,B
10110310007,2010,1111,SI210,SI210 Pemrograman Visual,3,70,B
10110310007,2010,1111,SI301,SI301 Sistem Informasi Manajemen,3,72,B
10110310007,2010,1111,SI302,SI302 Analisis Proses Bisnis,2,72,B
10110310007,2010,1111,SI750,SI750 Etika Bisnis & Hukum,2,73,B
10110310007,2010,1111,SK304,SK304 Probabilitas dan Statistika,3,70,B
10110310007,2010,1111,TI330,TI330 Pengantar Teknologi Internet,3,71,B
10110310007,2010,1121,EM604,EM604 Technopreneurship,2,71,B
10110310007,2010,1121,SI420,SI420 Analisis dan Perancangan SI,3,59,C
10110310007,2010,1121,SI426,SI426 Interaksi Manusia Komputer,2,87,A
10110310007,2010,1121,SI431,SI431 Pemrograman Visual Lanjutan,3,55,C
10110310007,2010,1121,SK430,SK430 Jaringan Komputer,4,70,B
10110310007,2010,1121,TI403,TI403 Sistem Basis Data,4,70,B
10110310007,2010,1211,EA100,EA100 Pengantar Akuntansi 1,3,58,C
10110310007,2010,1211,SI511,SI511 Managemen Proyek SI,3,71,B
10110310007,2010,1211,SI520,SI520 Sistem dan Aplikasi Perusahaan 1,3,92,A
10110310007,2010,1211,SI521,SI521 Analisis & Perancangan SI Lanjutan,3,56,C
10110310007,2010,1211,SI522,SI522 Decision Support & BI Systems,3,72,B
10110310007,2010,1211,SI527,SI527 Enterprise Resource Planning,3,74,B
10110310007,2010,1211,TI532,TI532 Pemograman Web,3,59,C
10110310007,2010,1221,EA410,EA410 Sistem Informasi Akuntansi Berbasis ICT 1,3,73,B
10110310007,2010,1221,SI612,SI612 E-Business,2,74,B
10110310007,2010,1221,SI624,SI624 Sistem dan Aplikasi Perusahaan 2,3,71,B
10110310007,2010,1221,SI628,SI628 ERP Terapan,3,95,A
10110310007,2010,1221,SI661,SI661 Proyek Sistem Informasi,4,88,A
10110310007,2010,1221,SI664,SI664 Metode Riset SI,3,87,A
10110310007,2010,1221,TI751,TI751 Seminar ICT,3,88,A
10110310007,2010,1311,SI325,SI325 Konsep Sistem Operasi,3,59,C
10110310007,2010,1311,SI723,SI723 Keamanan & Audit Sistem Informasi,3,72,B
10110310007,2010,1311,SI725,SI725 Knowledge Management,3,70,B
10110310007,2010,1311,SI729,SI729 Sistem dan Aplikasi Perusahaan 3,3,72,B
10110310007,2010,1311,SI860,SI860 Magang Kerja,4,96,A
10110310007,2010,1321,SI415,SI415 Inovasi Teknologi Informasi,3,72,B
10110310007,2010,1321,SI863,SI863 Tugas Akhir,6,71,B
10110310008,2010,1011,EM100,Dasar-dasar Bisnis,3,58,C
10110310008,2010,1011,TI100,Algoritma dan Pemrograman,4,55,C
10110310008,2010,1011,TI101,Matematika Diskrit,3,72,B
10110310008,2010,1011,TI110,Pengantar Teknologi Multimedia,3,58,C
10110310008,2010,1011,UM121,Bahasa Inggris 1,2,57,C
10110310008,2010,1011,UM151,Agama,3,71,B
10110310008,2010,1021,EM201,Dasar-dasar Manajemen,3,58,C
10110310008,2010,1021,IK402,Komunikasi Interpersonal,2,55,C
10110310008,2010,1021,SI200,Pengantar Sistem Informasi,2,59,C
10110310008,2010,1021,SI214,Manajemen Operasional,3,73,B
10110310008,2010,1021,UM141,Bahasa Indonesia,3,55,C
10110310008,2010,1021,UM160,Pendidikan Kewarganegaraan,3,73,B
10110310008,2010,1021,UM222,Bahasa Inggris 2,2,55,C
10110310008,2010,1111,EM372,Pengantar Ekonomi,2,74,B
10110310008,2010,1111,SI210,Pemrograman Visual,3,55,C
10110310008,2010,1111,SI301,Sistem Informasi Manajemen,3,71,B
10110310008,2010,1111,SI302,Analisis Proses Bisnis,2,93,A
10110310008,2010,1111,SI750,Etika Bisnis & Hukum,2,70,B
10110310008,2010,1111,SK304,Probabilitas dan Statistika,3,72,B
10110310008,2010,1111,TI330,Pengantar Teknologi Internet,3,71,B
10110310008,2010,1121,SI420,Analisis dan Perancangan SI,3,55,C
10110310008,2010,1121,SI426,Interaksi Manusia Komputer,2,74,B
10110310008,2010,1121,SI431,Pemrograman Visual Lanjutan,3,58,C
10110310008,2010,1121,TI403,Sistem Basis Data,4,55,C
10110310008,2010,1121,TI751,Seminar ICT,3,89,A
10110310008,2010,1122,EM180,Matematika Bisnis,3,56,C
10110310008,2010,1122,TI220,Metode Perancangan Program,3,56,C
10110310008,2010,1211,EA100,Pengantar Akuntansi 1,3,55,C
10110310008,2010,1211,SI511,Manajemen Proyek SI,3,73,B
10110310008,2010,1211,SI520,Sistem dan Aplikasi Perusahaan 1,3,71,B
10110310008,2010,1211,SI521,Analisis & Perancangan SI Lanjutan,3,70,B
10110310008,2010,1211,SI522,Decision Support & BI Systems,3,74,B
10110310008,2010,1211,SI527,Enterprise Resource Planning,3,73,B
10110310008,2010,1221,EA410,Sistem Informasi Akuntansi Berbasis ICT 1,3,97,A
10110310008,2010,1221,EM604,Technopreneurship,2,95,A
10110310008,2010,1221,SI415,Inovasi Teknologi Informasi,3,70,B
10110310008,2010,1221,SI624,Sistem dan Aplikasi Perusahaan 2,3,74,B
10110310008,2010,1221,SI628,ERP Terapan,3,73,B
10110310008,2010,1221,SI661,Proyek Sistem Informasi,4,88,A
10110310008,2010,1311,SI325,Konsep Sistem Operasi,3,73,B
10110310008,2010,1311,SI723,Keamanan & Audit Sistem Informasi,3,93,A
10110310008,2010,1311,SI725,Knowledge Management,3,70,B
10110310008,2010,1311,SI729,Sistem dan Aplikasi Perusahaan 3,3,55,C
10110310008,2010,1311,TI532,Pemrograman Web,3,47,D
10110310008,2010,1321,SI612,E-Business,2,89,A
10110310008,2010,1321,SI664,Metode Riset SI,3,94,A
10110310008,2010,1321,SI860,Magang Kerja,4,89,A
10110310008,2010,1411,SK430,Jaringan Komputer,4,72,B
10110310008,2010,1421,IS761,Skripsi 1,3,91,A
10110310008,2010,1421,IS862,Skripsi 2,3,89,A
10110310009,2010,1011,EM100,EM100 Dasar-dasar Bisnis,3,71,B
10110310009,2010,1011,TI100,TI100 Algoritma dan Pemrograman,4,59,C
10110310009,2010,1011,TI101,TI101 Matematika Diskrit,3,74,B
10110310009,2010,1011,TI110,TI110 Pengantar Teknologi Multimedia,3,70,B
10110310009,2010,1011,UM121,UM121 Bahasa Inggris 1,2,98,A
10110310009,2010,1011,UM151,UM151 Agama,3,74,B
10110310009,2010,1021,EM201,EM201 Dasar-dasar Manajemen,3,71,B
10110310009,2010,1021,IK402,IK402 Komunikasi Interpersonal,2,74,B
10110310009,2010,1021,SI200,SI200 Pengantar Sistem Informasi,2,91,A
10110310009,2010,1021,SI214,SI214 Manajemen Operasional,3,98,A
10110310009,2010,1021,TI220,TI220 Metode Perancangan Program,3,94,A
10110310009,2010,1021,UM141,UM141 Bahasa Indonesia,3,72,B
10110310009,2010,1021,UM160,UM160 Pendidikan Kewarganegaraan,3,95,A
10110310009,2010,1021,UM222,UM222 Bahasa Inggris 2,2,73,B
10110310009,2010,1111,EM372,EM372 Pengantar Ekonomi,2,88,A
10110310009,2010,1111,EM604,EM604 Technopreneurship,2,55,C
10110310009,2010,1111,SI210,SI210 Pemrograman Visual,3,70,B
10110310009,2010,1111,SI301,SI301 Sistem Informasi Manajemen,3,92,A
10110310009,2010,1111,SI302,SI302 Analisis Proses Bisnis,2,92,A
10110310009,2010,1111,SI325,SI325 Konsep Sistem Operasi,3,70,B
10110310009,2010,1111,SI750,SI750 Etika Bisnis & Hukum,2,72,B
10110310009,2010,1111,SK304,SK304 Probabilitas dan Statistika,3,97,A
10110310009,2010,1111,TI330,TI330 Pengantar Teknologi Internet,3,97,A
10110310009,2010,1121,SI415,SI415 Inovasi Teknologi Informasi,3,73,B
10110310009,2010,1121,SI420,SI420 Analisis dan Perancangan SI,3,90,A
10110310009,2010,1121,SI426,SI426 Interaksi Manusia Komputer,2,90,A
10110310009,2010,1121,SI431,SI431 Pemrograman Visual Lanjutan,3,71,B
10110310009,2010,1121,SI612,SI612 E-Business,2,56,C
10110310009,2010,1121,SK430,SK430 Jaringan Komputer,4,88,A
10110310009,2010,1121,TI403,TI403 Sistem Basis Data,4,73,B
10110310009,2010,1121,TI751,TI751 Seminar ICT,3,96,A
10110310009,2010,1122,EM180,EM180 Matematika Bisnis,3,98,A
10110310009,2010,1211,EA100,EA100 Pengantar Akuntansi 1,3,73,B
10110310009,2010,1211,SI511,SI511 Managemen Proyek SI,3,92,A
10110310009,2010,1211,SI521,SI521 Analisis & Perancangan SI Lanjutan,3,73,B
10110310009,2010,1211,SI522,SI522 Decision Support & BI Systems,3,86,A
10110310009,2010,1211,SI527,SI527 Enterprise Resource Planning,3,97,A
10110310009,2010,1211,SI541,SI541 Database Lanjutan,3,92,A
10110310009,2010,1211,TI532,TI532 Pemograman Web,3,74,B
10110310009,2010,1221,EA410,EA410 Sistem Informasi Akuntansi Berbasis ICT 1,3,87,A
10110310009,2010,1221,SI628,SI628 ERP Terapan,3,85,A
10110310009,2010,1221,SI642,SI642 Administrasi Database 1,3,91,A
10110310009,2010,1221,SI661,SI661 Proyek Sistem Informasi,4,93,A
10110310009,2010,1221,SI664,SI664 Metode Riset SI,3,92,A
10110310009,2010,1311,SI723,SI723 Keamanan & Audit Sistem Informasi,3,99,A
10110310009,2010,1311,SI725,SI725 Knowledge Management,3,90,A
10110310009,2010,1311,SI744,SI744 Administrasi Database 2,3,95,A
10110310009,2010,1311,SI860,SI860 Magang Kerja,4,98,A
10110310009,2010,1311,SI863,SI863 Tugas Akhir,6,86,A
10110310011,2010,1011,EM100,Dasar-dasar Bisnis,3,71,B
10110310011,2010,1011,EM100,EM100 Dasar-dasar Bisnis,3,74,B
10110310011,2010,1011,EM180,EM180 Matematika Bisnis,3,73,B
10110310011,2010,1011,EM180,Matematika Bisnis,3,74,B
10110310011,2010,1011,TI100,Algoritma dan Pemrograman,4,72,B
10110310011,2010,1011,TI100,TI100 Algoritma dan Pemrograman,4,74,B
10110310011,2010,1011,TI101,Matematika Diskrit,3,72,B
10110310011,2010,1011,TI101,TI101 Matematika Diskrit,3,73,B
10110310011,2010,1011,TI110,Pengantar Teknologi Multimedia,3,74,B
10110310011,2010,1011,TI110,TI110 Pengantar Teknologi Multimedia,3,74,B
10110310011,2010,1011,UM121,Bahasa Inggris 1,2,71,B
10110310011,2010,1011,UM121,UM121 Bahasa Inggris 1,2,73,B
10110310011,2010,1011,UM151,Agama,3,55,C
10110310011,2010,1011,UM151,UM151 Agama,3,57,C
10110310011,2010,1021,IK402,IK402 Komunikasi Interpersonal,2,56,C
10110310011,2010,1021,IK402,Komunikasi Interpersonal,2,58,C
10110310011,2010,1021,SI200,Pengantar Sistem Informasi,2,73,B
10110310011,2010,1021,SI200,SI200 Pengantar Sistem Informasi,2,73,B
10110310011,2010,1021,SI214,Manajemen Operasional,3,92,A
10110310011,2010,1021,SI214,SI214 Manajemen Operasional,3,97,A
10110310011,2010,1021,TI220,Metode Perancangan Program,3,72,B
10110310011,2010,1021,TI220,TI220 Metode Perancangan Program,3,73,B
10110310011,2010,1021,UM141,Bahasa Indonesia,3,74,B
10110310011,2010,1021,UM141,UM141 Bahasa Indonesia,3,73,B
10110310011,2010,1021,UM160,Pendidikan Kewarganegaraan,3,71,B
10110310011,2010,1021,UM160,UM160 Pendidikan Kewarganegaraan,3,72,B
10110310011,2010,1021,UM222,Bahasa Inggris 2,2,95,A
10110310011,2010,1021,UM222,UM222 Bahasa Inggris 2,2,94,A
10110310011,2010,1111,SI210,Pemrograman Visual,3,72,B
10110310011,2010,1111,SI210,SI210 Pemrograman Visual,3,73,B
10110310011,2010,1111,SI301,SI301 Sistem Informasi Manajemen,3,97,A
10110310011,2010,1111,SI301,Sistem Informasi Manajemen,3,93,A
10110310011,2010,1111,SI302,Analisis Proses Bisnis,2,88,A
10110310011,2010,1111,SI302,SI302 Analisis Proses Bisnis,2,89,A
10110310011,2010,1111,SI750,Etika Bisnis & Hukum,2,73,B
10110310011,2010,1111,SI750,SI750 Etika Bisnis & Hukum,2,74,B
10110310011,2010,1111,SK304,Probabilitas dan Statistika,3,59,C
10110310011,2010,1111,SK304,SK304 Probabilitas dan Statistika,3,56,C
10110310011,2010,1111,TI330,Pengantar Teknologi Internet,3,57,C
